Network,m,beta,mu,SteadyState
graphs/ER-1000.adjlist,14,0.17,1,0.129
graphs/ER-1000.adjlist,14,0.175,1,0.1436
graphs/ER-1000.adjlist,14,0.18,1,0.1574
graphs/ER-1000.adjlist,14,0.185,1,0.1676
graphs/ER-1000.adjlist,14,0.19,1,0.1826
graphs/ER-1000.adjlist,14,0.195,1,0.1912
graphs/ER-1000.adjlist,14,0.2,1,0.2028
graphs/ER-1000.adjlist,14,0.205,1,0.2111
graphs/ER-1000.adjlist,14,0.21,1,0.2203
graphs/ER-1000.adjlist,14,0.215,1,0.2312
graphs/ER-1000.adjlist,14,0.22,1,0.2399
graphs/ER-1000.adjlist,14,0.225,1,0.2508
graphs/ER-1000.adjlist,14,0.23,1,0.2559
graphs/ER-1000.adjlist,14,0.235,1,0.2648
graphs/ER-1000.adjlist,14,0.24,1,0.2698
graphs/ER-1000.adjlist,14,0.245,1,0.2804
graphs/ER-1000.adjlist,14,0.25,1,0.2839
graphs/ER-1000.adjlist,14,0.255,1,0.2902
graphs/ER-1000.adjlist,14,0.26,1,0.2977
graphs/ER-1000.adjlist,14,0.265,1,0.3039
graphs/ER-1000.adjlist,14,0.27,1,0.3109
graphs/ER-1000.adjlist,14,0.275,1,0.3143
graphs/ER-1000.adjlist,14,0.28,1,0.3208
graphs/ER-1000.adjlist,15,0.16,1,0.1099
graphs/ER-1000.adjlist,15,0.165,1,0.1272
graphs/ER-1000.adjlist,15,0.17,1,0.1391
graphs/ER-1000.adjlist,15,0.175,1,0.1552
graphs/ER-1000.adjlist,15,0.18,1,0.1668
graphs/ER-1000.adjlist,15,0.185,1,0.1772
graphs/ER-1000.adjlist,15,0.19,1,0.1891
graphs/ER-1000.adjlist,15,0.195,1,0.199
graphs/ER-1000.adjlist,15,0.2,1,0.2103
graphs/ER-1000.adjlist,15,0.205,1,0.2192
graphs/ER-1000.adjlist,15,0.21,1,0.229
graphs/ER-1000.adjlist,15,0.215,1,0.2384
graphs/ER-1000.adjlist,15,0.22,1,0.247
graphs/ER-1000.adjlist,15,0.225,1,0.2542
graphs/ER-1000.adjlist,15,0.23,1,0.2612
graphs/ER-1000.adjlist,15,0.235,1,0.2706
graphs/ER-1000.adjlist,15,0.24,1,0.2769
graphs/ER-1000.adjlist,15,0.245,1,0.2855
graphs/ER-1000.adjlist,15,0.25,1,0.2927
graphs/ER-1000.adjlist,15,0.255,1,0.2991
graphs/ER-1000.adjlist,15,0.26,1,0.3048
graphs/ER-1000.adjlist,15,0.265,1,0.3099
graphs/ER-1000.adjlist,15,0.27,1,0.3142
graphs/ER-1000.adjlist,15,0.275,1,0.3195
graphs/ER-1000.adjlist,15,0.28,1,0.3255
