Network,m,beta,mu,SteadyState
graphs/WS-1000.adjlist,11,0.185,1,0.0766
graphs/WS-1000.adjlist,11,0.19,1,0.0924
graphs/WS-1000.adjlist,11,0.195,1,0.1099
graphs/WS-1000.adjlist,11,0.2,1,0.1257
graphs/WS-1000.adjlist,11,0.205,1,0.1415
graphs/WS-1000.adjlist,11,0.21,1,0.1552
graphs/WS-1000.adjlist,11,0.215,1,0.167
graphs/WS-1000.adjlist,11,0.22,1,0.1799
graphs/WS-1000.adjlist,11,0.225,1,0.1902
graphs/WS-1000.adjlist,11,0.23,1,0.2042
graphs/WS-1000.adjlist,11,0.235,1,0.2136
graphs/WS-1000.adjlist,11,0.24,1,0.2206
graphs/WS-1000.adjlist,11,0.245,1,0.2333
graphs/WS-1000.adjlist,11,0.25,1,0.2434
graphs/WS-1000.adjlist,11,0.255,1,0.2507
graphs/WS-1000.adjlist,11,0.26,1,0.2592
graphs/WS-1000.adjlist,11,0.265,1,0.2676
graphs/WS-1000.adjlist,11,0.27,1,0.2767
graphs/WS-1000.adjlist,11,0.275,1,0.2826
graphs/WS-1000.adjlist,11,0.28,1,0.2893
graphs/WS-1000.adjlist,11,0.285,1,0.2951
graphs/WS-1000.adjlist,11,0.29,1,0.3034
graphs/WS-1000.adjlist,11,0.295,1,0.3092
graphs/WS-1000.adjlist,11,0.3,1,0.3148
graphs/WS-1000.adjlist,11,0.305,1,0.3227
graphs/WS-1000.adjlist,11,0.31,1,0.3277
graphs/WS-1000.adjlist,11,0.315,1,0.3327
graphs/WS-1000.adjlist,12,0.16,1,0.0016
graphs/WS-1000.adjlist,12,0.165,1,0.0072
graphs/WS-1000.adjlist,12,0.17,1,0.0344
graphs/WS-1000.adjlist,12,0.175,1,0.0619
graphs/WS-1000.adjlist,12,0.18,1,0.08
graphs/WS-1000.adjlist,12,0.185,1,0.0962
graphs/WS-1000.adjlist,12,0.19,1,0.1131
graphs/WS-1000.adjlist,12,0.195,1,0.1279
graphs/WS-1000.adjlist,12,0.2,1,0.1428
graphs/WS-1000.adjlist,12,0.205,1,0.1554
graphs/WS-1000.adjlist,12,0.21,1,0.1716
graphs/WS-1000.adjlist,12,0.215,1,0.1826
graphs/WS-1000.adjlist,12,0.22,1,0.1942
graphs/WS-1000.adjlist,12,0.225,1,0.2037
graphs/WS-1000.adjlist,12,0.23,1,0.2148
graphs/WS-1000.adjlist,12,0.235,1,0.2254
graphs/WS-1000.adjlist,12,0.24,1,0.2361
graphs/WS-1000.adjlist,12,0.245,1,0.2429
graphs/WS-1000.adjlist,12,0.25,1,0.2527
graphs/WS-1000.adjlist,12,0.255,1,0.2592
graphs/WS-1000.adjlist,12,0.26,1,0.2678
graphs/WS-1000.adjlist,12,0.265,1,0.2757
graphs/WS-1000.adjlist,12,0.27,1,0.2829
graphs/WS-1000.adjlist,12,0.275,1,0.2905
graphs/WS-1000.adjlist,12,0.28,1,0.2977
graphs/WS-1000.adjlist,12,0.285,1,0.306
graphs/WS-1000.adjlist,12,0.29,1,0.3126
graphs/WS-1000.adjlist,12,0.295,1,0.3163
graphs/WS-1000.adjlist,12,0.3,1,0.3241
graphs/WS-1000.adjlist,12,0.305,1,0.3288
graphs/WS-1000.adjlist,12,0.31,1,0.3326
graphs/WS-1000.adjlist,12,0.315,1,0.3413
graphs/WS-1000.adjlist,13,0.16,1,0.0074
graphs/WS-1000.adjlist,13,0.165,1,0.0293
graphs/WS-1000.adjlist,13,0.17,1,0.0543
graphs/WS-1000.adjlist,13,0.175,1,0.0812
graphs/WS-1000.adjlist,13,0.18,1,0.0992
graphs/WS-1000.adjlist,13,0.185,1,0.1129
graphs/WS-1000.adjlist,13,0.19,1,0.1315
graphs/WS-1000.adjlist,13,0.195,1,0.1431
graphs/WS-1000.adjlist,13,0.2,1,0.1607
graphs/WS-1000.adjlist,13,0.205,1,0.1727
graphs/WS-1000.adjlist,13,0.21,1,0.183
graphs/WS-1000.adjlist,13,0.215,1,0.1954
graphs/WS-1000.adjlist,13,0.22,1,0.206
graphs/WS-1000.adjlist,13,0.225,1,0.2157
